İlan_Numarası,İlan_Güncelleme_Tarihi,Kategorisi,Brüt_Metrekare,Binanın_Yaşı,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Eşya_Durumu,Banyo_Sayısı,İlan_Oluşturma_Tarihi,Türü,Net_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Isıtma_Tipi,Krediye_Uygunluk,Site_İçerisinde,Takas,Fiyat_Durumu,Fiyatı,İl,İlçe,Mahalle,yaka,Yaşam_endeksi,Nüfus
21,14 Ocak 2022 ,Satılık ,270,11-15 ,5,Mülk Sahibi Oturuyor ,Bilinmiyor ,Yok,2 ,15 Temmuz 2021 ,Konut ,210,4+1 ,3. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,19500000,İstanbul , Bakırköy , Sakızağacı Mahallesi ,Avrupa Yakası,0.613,228.759
17,17 Aralık 2021 ,Satılık ,360,1 ,20,Boş ,Bilinmiyor ,Yok,3 ,12 Temmuz 2021 ,Konut ,270,5+1 ,10. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,20000000,İstanbul , Bakırköy , Sakızağacı Mahallesi ,Avrupa Yakası,0.613,228.759
16,02 Ocak 2022 ,Satılık ,260,11-15 ,5,Kiracı Oturuyor ,Bilinmiyor ,Yok,3 ,08 Temmuz 2021 ,Konut ,220,4+1 ,4. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,15250000,İstanbul , Bakırköy , Yeşilköy Mahallesi ,Avrupa Yakası,0.613,228.759
15,18 Kasım 2021 ,Satılık ,270,11-15 ,5,Mülk Sahibi Oturuyor ,Bilinmiyor ,Yok,2 ,17 Haziran 2021 ,Konut ,210,4+1 ,1. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,14500000,İstanbul , Bakırköy , Şenlikköy Mahallesi ,Avrupa Yakası,0.613,228.759
14,13 Aralık 2021 ,Satılık ,220,21 Ve Üzeri ,3,Boş ,Bilinmiyor ,Yok,2 ,13 Haziran 2021 ,Konut ,200,3+1 ,2. Kat ,Doğalgaz,Krediye Uygun Değil ,Hayır,Var,Genel Fiyat ,3750000,İstanbul , Bakırköy , Ataköy 2,Avrupa Yakası,0.613,228.759
11,29 Aralık 2021 ,Satılık ,317,3 ,19,Kiracı Oturuyor ,Bilinmiyor ,Yok,3 ,09 Haziran 2021 ,Konut ,260,5+1 ,16. Kat ,Yerden Isıtma ,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,16250000,İstanbul , Bakırköy , Ataköy 7,Avrupa Yakası,0.613,228.759
10,17 Ocak 2022 ,Satılık ,78,21 Ve Üzeri ,4,Kiracı Oturuyor ,Bilinmiyor ,Yok,1 ,08 Haziran 2021 ,Konut ,74,1+1 ,4. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,2000000,İstanbul , Bakırköy , Ataköy 2,Avrupa Yakası,0.613,228.759
9,02 Şubat 2022 ,Satılık ,270,11-15 ,5,Mülk Sahibi Oturuyor ,Bilinmiyor ,Yok,2 ,06 Haziran 2021 ,Konut ,260,4+1 ,4. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,9500000,İstanbul , Bakırköy , Ataköy 3,Avrupa Yakası,0.613,228.759
8,20 Aralık 2021 ,Satılık ,85,21 Ve Üzeri ,2,Boş ,Bilinmiyor ,Yok,1 ,28 Mayıs 2021 ,Konut ,80,2+1 ,2. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,2200000,İstanbul , Bakırköy , Şenlikköy Mahallesi ,Avrupa Yakası,0.613,228.759
4,19 Aralık 2021 ,Satılık ,100,21 Ve Üzeri ,2,Kiracı Oturuyor ,Bilinmiyor ,Yok,1 ,21 Mayıs 2021 ,Konut ,90,2+1 ,Bahçe Katı ,Doğalgaz,Krediye Uygun Değil ,Hayır,Var,Genel Fiyat ,1750000,İstanbul , Bakırköy , Yeşilköy Mahallesi ,Avrupa Yakası,0.613,228.759
7,28 Aralık 2021 ,Satılık ,80,21 Ve Üzeri ,3,Kiracı Oturuyor ,Bilinmiyor ,Yok,1 ,21 Mayıs 2021 ,Konut ,79,1+1 ,Bahçe Katı ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,1300000,İstanbul , Bakırköy , Şenlikköy Mahallesi ,Avrupa Yakası,0.613,228.759
5,07 Şubat 2022 ,Satılık ,320,11-15 ,5,Boş ,Bilinmiyor ,Yok,3 ,21 Mayıs 2021 ,Konut ,300,4+1 ,5. Kat ,Doğalgaz,Krediye Uygun Değil ,Hayır,Var,Genel Fiyat ,10000000,İstanbul , Bakırköy , Basınköy Mahallesi ,Avrupa Yakası,0.613,228.759
6,07 Şubat 2022 ,Satılık ,340,0 (Yeni) ,2,Boş ,Bilinmiyor ,Yok,6+ ,21 Mayıs 2021 ,Konut ,300,5+2 ,2. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,12000000,İstanbul , Bakırköy , Sakızağacı Mahallesi ,Avrupa Yakası,0.613,228.759
3,10 Eylül 2021 ,Satılık ,136,0 (Yeni) ,16,Boş ,Yatırıma Uygun ,Var,1 ,26 Nisan 2021 ,Konut ,88,1+1 ,12. Kat ,Doğalgaz,KREDIYE UYGUN ,Evet,Var,Genel Fiyat ,4750000,İstanbul , Bakırköy , Ataköy 7,Avrupa Yakası,0.613,228.759
2,30 Ekim 2021 ,Satılık ,220,0 (Yeni) ,5,Boş ,Hayır ,Var,3 ,19 Mart 2021 ,Konut ,200,4+2 ,5. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,3350000,İstanbul , Bakırköy , Yenimahalle Mahallesi ,Avrupa Yakası,0.613,228.759
1411,17 Ocak 2022 ,Satılık ,85,5-10 ,11,Mülk Sahibi Oturuyor ,Bilinmiyor ,Yok,1 ,17 Ocak 2022 ,Konut ,80,2+1 ,5. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,1250000,İstanbul , Başakşehir , Kayabaşı Mahallesi ,Avrupa Yakası,-0.152,503.243
1458,18 Ocak 2022 ,Satılık ,82,4 ,5,Kiracı Oturuyor ,Evet ,Var,1 ,18 Ocak 2022 ,Konut ,70,2+1 ,5. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,1300000,İstanbul , Başakşehir , Güvercintepe Mahallesi ,Avrupa Yakası,-0.152,503.243
1453,18 Ocak 2022 ,Satılık ,210,0 (Yeni) ,4,Boş ,Bilinmiyor ,Yok,4 ,18 Ocak 2022 ,Konut ,175,4+2 ,3. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,980000,İstanbul , Başakşehir , Kayabaşı Mahallesi ,Avrupa Yakası,-0.152,503.243
1421,18 Ocak 2022 ,Satılık ,85,5-10 ,14,Mülk Sahibi Oturuyor ,Bilinmiyor ,Yok,1 ,17 Ocak 2022 ,Konut ,75,2+1 ,10. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,1195000,İstanbul , Başakşehir , Bahçeşehir 2. Kısım Mahallesi ,Avrupa Yakası,-0.152,503.243
1445,26 Ocak 2022 ,Satılık ,140,1 ,27,Kiracı Oturuyor ,Bilinmiyor ,Yok,2 ,18 Ocak 2022 ,Konut ,100,2+1 ,15. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,1750000,İstanbul , Başakşehir , Bahçeşehir 2. Kısım Mahallesi ,Avrupa Yakası,-0.152,503.243
1446,26 Ocak 2022 ,Satılık ,77,1 ,27,Kiracı Oturuyor ,Bilinmiyor ,Yok,1 ,18 Ocak 2022 ,Konut ,58,1+1 ,6. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,1100000,İstanbul , Başakşehir , Başakşehir Mahallesi ,Avrupa Yakası,-0.152,503.243
1436,27 Ocak 2022 ,Satılık ,132,11-15 ,5,Kiracı Oturuyor ,Bilinmiyor ,Yok,2 ,18 Ocak 2022 ,Konut ,125,3+1 ,Çatı Katı ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,1120000,İstanbul , Başakşehir , Altınşehir Mahallesi ,Avrupa Yakası,-0.152,503.243
1371,17 Ocak 2022 ,Satılık ,77,0 (Yeni) ,30,Boş ,Bilinmiyor ,Yok,1 ,17 Ocak 2022 ,Konut ,55,1+1 ,7. Kat ,Doğalgaz,Krediye Uygun Değil ,Hayır,Var,Genel Fiyat ,1145000,İstanbul , Başakşehir , Bahçeşehir 2. Kısım Mahallesi ,Avrupa Yakası,-0.152,503.243
1369,17 Ocak 2022 ,Satılık ,175,2 ,11,Boş ,Bilinmiyor ,Yok,2 ,17 Ocak 2022 ,Konut ,120,3+1 ,4. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,3100000,İstanbul , Başakşehir , Başak Mahallesi ,Avrupa Yakası,-0.152,503.243
